siteid,fluxnetid,countryid,land_unit,status,latitude,longitude,year_began,koeppen_climate,gtopo30_elevation,igbp_land_use,
584,KR-Kw1,South Korea,Asia,Active,37.74860664,127.162525,1998,Dwa - Snow dry winter hot summer,154,Mixed Forests,
588,KR-Suw,South Korea,Asia,Active,37.26946667,126.9402167,2002,Cwa - Warm temperate with dry winter and hot summer,55,Cropland/Natural Vegetation Mosaic,
589,KZ-AL1,Kazakhstan,Asia,Intermittent,51.51361111,71.46277778,2006,Dfb - Snow fully humid warm summer,357,Grasslands,
590,KZ-AL2,Kazakhstan,Asia,Intermittent,51.48361111,71.10472222,2006,Dfb - Snow fully humid warm summer,404,Croplands,
591,KZ-AL3,Kazakhstan,Asia,Intermittent,51.58722222,71.00083333,2006,Dfb - Snow fully humid warm summer,398,Grasslands,
592,KZ-AL4,Kazakhstan,Asia,Intermittent,51.68147222,71.14369444,2006,BSk - Arid Steppe cold,386,Grasslands,
594,KZ-CW1,Kazakhstan,Asia,Intermittent,51.5275,71.48277778,2006,BSk - Arid Steppe cold,360,Grasslands,
595,KZ-CW2,Kazakhstan,Asia,Intermittent,51.48083333,71.114,2006,Dfb - Snow fully humid warm summer,397,Grasslands,
596,KZ-CW3,Kazakhstan,Asia,Intermittent,51.58888889,71.00027778,2006,Dfb - Snow fully humid warm summer,398,Grasslands,
597,KZ-CW4,Kazakhstan,Asia,Intermittent,51.68277778,71.14772222,2006,BSk - Arid Steppe cold,387,Grasslands,
598,KZ-VL1,Kazakhstan,Asia,Intermittent,51.51,71.45583333,2006,Dfb - Snow fully humid warm summer,356,Grasslands,
599,KZ-VL2,Kazakhstan,Asia,Intermittent,51.4775,71.10361111,2006,Dfb - Snow fully humid warm summer,391,Grasslands,
600,KZ-VL3,Kazakhstan,Asia,Intermittent,51.62333333,70.96944444,2006,Dfb - Snow fully humid warm summer,378,Grasslands,
601,KZ-VL4,Kazakhstan,Asia,Intermittent,51.67555556,71.15444444,2006,BSk - Arid Steppe cold,387,Grasslands,
602,KZ-VL5,Kazakhstan,Asia,Inactive,51.57583333,71.26805556,1999,Dfb - Snow fully humid warm summer,423,Croplands,
603,KZ-Wht,Kazakhstan,Asia,Intermittent,51.57361111,71.25972222,2006,Dfb - Snow fully humid warm summer,427,Grasslands,
613,MN-Arv,Mongolia,Asia,Inactive,46.23381667,102.8251167,1998,BSk - Arid Steppe cold,1728,Grasslands,
616,MN-Inn,China,Asia,Active,43.5,117.45,2003,Dwb - Snow dry winter warm summer,1720,Deciduous Broadleaf Forest,
637,MN-Mag,China,Asia,Intermittent,43.55472222,116.6780556,2004,Dwb - Snow dry winter warm summer,1247,Grasslands,
644,MX-Cha,Mexico,North America,Active,19.50928056,-105.040175,2005,As - Equatorial savannah with dry summer,58,Deciduous Broadleaf Forest,
646,MX-Lpa,Mexico,North America,Active,24.12925,-110.4380278,2000,BWh - Arid desert hot,21,Open Shrublands,
661,NL-Ca1,Netherlands,Europe,Active,51.971,4.927,2000,Cfb - Warm temperate fully humid with warm summer,1,Cropland/Natural Vegetation Mosaic,
665,NL-Hor,Netherlands,Europe,Active,52.24035,5.071301,2003,Cfb - Warm temperate fully humid with warm summer,1,Mixed Forests,
666,NL-Lel,Netherlands,Europe,Active,52.52423818,5.551615935,2004,Cfb - Warm temperate fully humid with warm summer,-4,Croplands,
667,NL-Loo,Netherlands,Europe,Active,52.166581,5.743556,1996,Cfb - Warm temperate fully humid with warm summer,25,Evergreen Needleleaf Forest,
670,NZ-Pur,New Zealand,Australia/Oceania,Inactive,-35.15,174.0333,1992,Cfb - Warm temperate fully humid with warm summer,34,Evergreen Broadleaf Forest,
671,PA-SPs,Panama,South America,Inactive,9.313779833,-79.63142983,2007,Am - Equatorial monsoon,76,Cropland/Natural Vegetation Mosaic,
672,PA-SPn,Panama,South America,Inactive,9.318139833,-79.6346,2007,Am - Equatorial monsoon,80,Cropland/Natural Vegetation Mosaic,
678,PL-Bre,Poland,Europe,Active,49.66667,18.93333,2002,Dfb - Snow fully humid warm summer,706,Mixed Forests,
679,PL-Pol,Slovakia,Europe,Active,48.63333333,19.53333333,2004,Dfb - Snow fully humid warm summer,800,Mixed Forests,
680,PL-wet,Poland,Europe,Active,52.7621994,16.30940056,2004,Cfb - Warm temperate fully humid with warm summer,55,Mixed Forests,
684,PT-Esp,Portugal,Europe,Active,38.63940048,-8.601799965,2002,Csa - Warm temperate with dry," hot summer""""",90,Woody Savannas
685,PT-Mi1,Portugal,Europe,Active,38.54063889,-8.000055556,1999,Csa - Warm temperate with dry," hot summer""""",230,Savannas
687,PT-Mi3,Portugal,Europe,Active,38.54063889,-8.000055556,2005,Csa - Warm temperate with dry," hot summer""""",230,Savannas
688,PT-Mi2,Portugal,Europe,Active,38.47650146,-8.024550438,2004,Csa - Warm temperate with dry," hot summer""""",193,Savannas
692,RU-Che,Russia,Asia,Active,68.61304,161.34143,2002,Dfc - Snow fully humid cool summer,3,Open Shrublands,
693,RU-Cok,Russia,Asia,Inactive,70.82913889,147.4942778,2003,Dfc - Snow fully humid cool summer,16,Open Shrublands,
694,RU-Cuk,Russia,Asia,Active,65.59483333,171.0525,2001,Dfc - Snow fully humid cool summer,183,Open Shrublands,
709,RU-Fyo,Russia,Asia,Active,56.4615278,32.9220833,1998,Dfb - Snow fully humid warm summer,273,Mixed Forests,
713,RU-Sam,Russia,Asia,Intermittent,72.3738,126.4958,2002,Dfd - Snow fully humid extremely continental,16,Woody Savannas,
714,RU-Tuv,Russia,Asia,Inactive,50.15,94.45,2004,Dfb - Snow fully humid warm summer,948,Grasslands,
715,RU-Ha1,Russia,Asia,Active,54.72517,90.00215,2002,Dfc - Snow fully humid cool summer,449,Grasslands,
716,RU-Ha2,Russia,Asia,Active,54.77301,89.95664,2002,Dfc - Snow fully humid cool summer,407,Woody Savannas,
717,RU-Ha3,Russia,Asia,Active,54.70455,89.07785,2004,Dfc - Snow fully humid cool summer,437,Mixed Forests,
719,RU-Ylr,Russia,Asia,Active,62.255,129.6189,1996,Dfd - Snow fully humid extremely continental,214,Deciduous Needleleaf Forest,
720,RU-Ypn,Russia,Asia,Active,62.2414,129.6506,1998,Dfd - Snow fully humid extremely continental,208,Deciduous Needleleaf Forest,
721,RU-Zot,Russia,Asia,Active,60.80080032,89.35079956,2002,Dfc - Snow fully humid cool summer,124,Woody Savannas,
724,SD-Dem,Sudan,Africa,Inactive,13.2829,30.4783,2002,BWh - Arid desert hot,608,Grasslands,
725,SE-Asa,Sweden,Europe,Inactive,57.17226111,14.8001,2004,Cfb - Warm temperate fully humid with warm summer,205,Evergreen Needleleaf Forest,
726,SE-As2,Sweden,Europe,Active,57.1495,14.738663,2005,Cfb - Warm temperate fully humid with warm summer,260,Evergreen Needleleaf Forest,
727,SE-Deg,Sweden,Europe,Active,64.18197222,19.55669444,2001,Dfc - Snow fully humid cool summer,242,Evergreen Needleleaf Forest,
728,SE-Fla,Sweden,Europe,Active,64.11277777,19.45694444,1996,Dfc - Snow fully humid cool summer,307,Evergreen Needleleaf Forest,
729,SE-Kno,Sweden,Europe,Active,60.99825,16.21727778,2004,Dfc - Snow fully humid cool summer,285,Evergreen Needleleaf Forest,
730,SE-Nor,Sweden,Europe,Active,60.08649722,17.47950278,1996,Dfb - Snow fully humid warm summer,28,Evergreen Needleleaf Forest,
732,SE-Sk2,Sweden,Europe,Active,60.12966667,17.84005556,2004,Dfb - Snow fully humid warm summer,58,Evergreen Needleleaf Forest,
733,SE-Sk1,Sweden,Europe,Active,60.125,17.91805556,2004,Dfb - Snow fully humid warm summer,42,Evergreen Needleleaf Forest,
734,SE-St2,Sweden,Europe,Active,68.35424444,19.04714444,2004,ET - Polar tundra,347,Woody Savannas,
735,SE-St1,Sweden,Europe,Active,68.3541488,19.050333,2004,ET - Polar tundra,347,Closed Shrublands,
736,SK-Pol,Slovakia,Europe,Active,48.63333333,19.46666667,2002,Dfb - Snow fully humid warm summer,1222,Mixed Forests,
745,TH-Mae,Thailand,Asia,Active,14.575,98.85833333,2001,Am - Equatorial monsoon,214,Evergreen Broadleaf Forest,
746,TH-Mix,Thailand,Asia,Active,16.93986111,99.42986111,2002,Aw - Equatorial savannah with dry winter,105,Woody Savannas,
752,TH-Sak,Thailand,Asia,Active,14.49333333,101.9219444,2001,Aw - Equatorial savannah with dry winter,470,Evergreen Broadleaf Forest,
759,TW-Chn,Taiwan,Asia,Active,24.59094444,121.4989722,2005,Cfa - Warm temperate fully humid with hot summer,457,Evergreen Broadleaf Forest,
760,TW-Hui,Taiwan,Asia,Active,24.076,121.126,2006,Cfb - Warm temperate fully humid with warm summer,1292,Evergreen Broadleaf Forest,
761,TW-Nch,Taiwan,Asia,Active,24.12055556,120.6780556,2006,Cfa - Warm temperate fully humid with hot summer,54,Urban and Built-Up,
765,TW-Tar,Taiwan,Asia,Active,24.03122222,120.6883889,2005,Cfa - Warm temperate fully humid with hot summer,83,Croplands,
771,UK-AMo,United Kingdom,Europe,Active,55.79166667,-3.238888889,2002,Cfb - Warm temperate fully humid with warm summer,265,Grasslands,
773,UK-Cas,United Kingdom,Europe,Active,57.23333333,-3.5,2002,Cfc - Warm temperate fully humid with cool summer,461,Mixed Forests,
775,UK-EBu,United Kingdom,Europe,Active,55.866,-3.205777778,2004,Cfb - Warm temperate fully humid with warm summer,208,Cropland/Natural Vegetation Mosaic,
776,UK-ESa,United Kingdom,Europe,Active,55.9069444,-2.85861111,2003,Cfb - Warm temperate fully humid with warm summer,307,Croplands,
777,UK-Gri,United Kingdom,Europe,Active,56.6072222,-3.79805556,1997,Cfb - Warm temperate fully humid with warm summer,343,Evergreen Needleleaf Forest,
778,UK-Ham,United Kingdom,Europe,Active,51.153533,-0.8583,2004,Cfb - Warm temperate fully humid with warm summer,76,Cropland/Natural Vegetation Mosaic,
779,UK-Har,United Kingdom,Europe,Active,55.21272222,-2.037527777,2003,Cfb - Warm temperate fully humid with warm summer,282,Evergreen Needleleaf Forest,
780,UK-Her,United Kingdom,Europe,Active,51.78379822,-0.47608,2004,Cfb - Warm temperate fully humid with warm summer,142,Croplands,
781,UK-MoH,United Kingdom,Europe,Active,54.69633333,-2.396383333,2004,Cfb - Warm temperate fully humid with warm summer,600,Mixed Forests,
783,UK-PL1,United Kingdom,Europe,Active,51.53329849,-1.483330011,2004,Cfb - Warm temperate fully humid with warm summer,159,Croplands,
784,UK-PL2,United Kingdom,Europe,Active,51.43330002,-1.233330011,2004,Cfb - Warm temperate fully humid with warm summer,78,Cropland/Natural Vegetation Mosaic,
785,UK-PL3,United Kingdom,Europe,Active,51.45,-1.266666667,2004,Cfb - Warm temperate fully humid with warm summer,104,Mixed Forests,
786,UK-Pol,United Kingdom,Europe,Active,55.28683333,-3.4015,2002,Cfb - Warm temperate fully humid with warm summer,180,Grasslands,
787,UK-Tad,United Kingdom,Europe,Active,51.20709991,-2.828639984,2000,Cfb - Warm temperate fully humid with warm summer,28,Grasslands,
798,US-Ivo,United States,North America,Inactive,68.48647222,-155.748,2003,ET - Polar tundra,557,Open Shrublands,
805,US-NSP,United States,North America,Active,41.55788056,-93.29618611,2005,Dfa - Snow with fully humid hot summer,269,Croplands,
806,US-Br1,United States,North America,Active,41.69148056,-93.69138611,2001,Dfa - Snow with fully humid hot summer,270,Cropland/Natural Vegetation Mosaic,
807,US-Br2,United States,North America,Active,41.97565278,-93.69251944,2005,Dfa - Snow with fully humid hot summer,313,Croplands,
808,US-Br3,United States,North America,Active,41.97471944,-93.69357222,2001,Dfa - Snow with fully humid hot summer,313,Croplands,
810,US-Atq,United States,North America,Inactive,70.46961111,-157.4089444,1999,ET - Polar tundra,15,Grasslands,
811,US-Aud,United States,North America,Active,31.5907,-110.5092,2002,BSk - Arid Steppe cold,1466,Open Shrublands,
814,US-Wkg,United States,North America,Active,31.736527,-109.94188,2003,BSk - Arid Steppe cold,1524,Grasslands,
815,US-LSM,United States,North America,Active,31.56584,-110.13438,2001,BSk - Arid Steppe cold,1238,Open Shrublands,
816,US-Whs,United States,North America,Active,31.743833,-110.052222,2003,BSk - Arid Steppe cold,1366,Open Shrublands,
818,US-MtB,United States,North America,Active,32.41666667,-110.7255139,2002,BSk - Arid Steppe cold,2446,Woody Savannas,
822,US-Brw,United States,North America,Active,71.322525,-156.6258806,1993,ET - Polar tundra,1,Snow and Ice,
823,US-Bar,United States,North America,Active,44.06463967,-71.28807685,2004,Dfb - Snow fully humid warm summer,270,Mixed Forests,
825,US-Blk,United States,North America,Inactive,44.158,-103.65,1999,Dfb - Snow fully humid warm summer,1743,Evergreen Needleleaf Forest,
826,US-Blo,United States,North America,Inactive,38.89525,-120.63275,1997,Csb - Warm temperate with dry," warm summer""""",1280,Evergreen Needleleaf Forest
830,US-Bo1,United States,North America,Active,40.0062,-88.2904,1996,Dfa - Snow with fully humid hot summer,217,Croplands,
831,US-Bo2,United States,North America,Inactive,40.0061,-88.2918,2004,Dfa - Snow with fully humid hot summer,218,Croplands,
833,US-Bkg,United States,North America,Active,44.34529,-96.83617,2004,Dfa - Snow with fully humid hot summer,495,Croplands,
844,US-CaV,United States,North America,Active,39.0633,-79.4208,2004,Cfb - Warm temperate fully humid with warm summer,975,Cropland/Natural Vegetation Mosaic,
845,US-ChR,United States,North America,Active,35.931093,-84.332424,2006,Cfa - Warm temperate fully humid with hot summer,290,Deciduous Broadleaf Forest,
863,US-Co1,United States,North America,Inactive,40.72514,-104.30138,2003,BSk - Arid Steppe cold,1526,Grasslands,
864,US-Co2,United States,North America,Inactive,40.7345,-104.30128,2003,BSk - Arid Steppe cold,1528,Grasslands,
865,US-Co3,United States,North America,Inactive,40.72965,-104.30134,2003,BSk - Arid Steppe cold,1526,Grasslands,
866,US-Cyp,United States,North America,Inactive,29.77043333,-82.2081,1994,Cfa - Warm temperate fully humid with hot summer,46,Mixed Forests,
867,US-Dk1,United States,North America,Active,35.9712024,-79.09337586,2001,Cfa - Warm temperate fully humid with hot summer,166,Mixed Forests,
2816,CN-Tbs,China,Asia,Inactive,31.37,91.9,1998,ET - Polar tundra,,Grasslands,
868,US-Dk2,United States,North America,Active,35.97358231,-79.10043042,2000,Cfa - Warm temperate fully humid with hot summer,169,Mixed Forests,
869,US-Dk3,United States,North America,Active,35.97816586,-79.09419557,1997,Cfa - Warm temperate fully humid with hot summer,169,Mixed Forests,
871,US-Skr,United States,North America,Active,25.36463056,-81.07794611,2003,Aw - Equatorial savannah with dry winter,1,Permanent Wetlands,
873,US-FPe,United States,North America,Active,48.3077,-105.1019,1999,BSk - Arid Steppe cold,638,Grasslands,
874,US-FR1,United States,North America,Active,29.93,-98.01,2004,Cfa - Warm temperate fully humid with hot summer,243,Grasslands,
875,US-FR2,United States,North America,Active,29.94948932,-97.99622779,2004,Cfa - Warm temperate fully humid with hot summer,260,Cropland/Natural Vegetation Mosaic,
876,US-FR3,United States,North America,Active,29.94,-97.99,2004,Cfa - Warm temperate fully humid with hot summer,243,Woody Savannas,
881,US-GLE,United States,North America,Active,41.3644,-106.2394,1999,Dfb - Snow fully humid warm summer,3150,Evergreen Needleleaf Forest,
882,US-Goo,United States,North America,Inactive,34.2547,-89.8735,2002,Cfa - Warm temperate fully humid with hot summer,90,Cropland/Natural Vegetation Mosaic,
883,US-GMF,United States,North America,Inactive,41.96666667,-73.23333333,1999,Dfb - Snow fully humid warm summer,474,Mixed Forests,
884,US-HVa,United States,North America,Inactive,69.14233,-148.84117,1993,Dfc - Snow fully humid cool summer,303,Open Shrublands,
886,US-Ha1,United States,North America,Active,42.53775556,-72.17147778,1991,Dfb - Snow fully humid warm summer,353,Mixed Forests,
887,US-Ha2,United States,North America,Active,42.53933333,-72.17794444,2000,Dfb - Snow fully humid warm summer,365,Mixed Forests,
890,US-Ho1,United States,North America,Active,45.2041,-68.7402,1995,Dfb - Snow fully humid warm summer,72,Mixed Forests,
891,US-Ho2,United States,North America,Active,45.20912,-68.747,1999,Dfb - Snow fully humid warm summer,82,Mixed Forests,
892,US-Ho3,United States,North America,Active,45.20722,-68.725,2001,Dfb - Snow fully humid warm summer,62,Mixed Forests,
899,US-IB1,United States,North America,Active,41.8593,-88.22273333,2005,Dfa - Snow with fully humid hot summer,220,Croplands,
900,US-IB2,United States,North America,Active,41.84061667,-88.24103333,2004,Dfa - Snow with fully humid hot summer,228,Cropland/Natural Vegetation Mosaic,
911,US-Jas,United States,North America,Active,37.40213208,-122.2210281,1998,Csb - Warm temperate with dry," warm summer""""",181,Woody Savannas
915,US-Kon,United States,North America,Active,39.0823925,-96.56027694,1996,Cfa - Warm temperate fully humid with hot summer,430,Grasslands,
916,US-Man,United States,North America,Active,39.46,-96.757,1997,Cfa - Warm temperate fully humid with hot summer,354,Woody Savannas,
920,US-Ra1,United States,North America,Active,39.139,-96.523,1997,Cfa - Warm temperate fully humid with hot summer,409,Grasslands,
921,US-Ra2,United States,North America,Active,39.14049722,-96.52704722,1997,Cfa - Warm temperate fully humid with hot summer,402,Grasslands,
922,US-KS1,United States,North America,Inactive,28.45830448,-80.67090255,2001,Cfa - Warm temperate fully humid with hot summer,1,Mixed Forests,
923,US-KS2,United States,North America,Inactive,28.60857739,-80.67153396,1999,Cfa - Warm temperate fully humid with hot summer,1,Woody Savannas,
929,US-ARM,United States,North America,Active,36.6058,-97.4888,2000,Cfa - Warm temperate fully humid with hot summer,312,Croplands,
930,US-LWW,United States,North America,Inactive,34.9604,-97.978895,1995,Cfa - Warm temperate fully humid with hot summer,365,Grasslands,
931,US-Los,United States,North America,Active,46.08268,-89.97919,2000,Dfb - Snow fully humid warm summer,485,Mixed Forests,
935,US-LPH,United States,North America,Active,42.54186111,-72.18496389,2002,Dfb - Snow fully humid warm summer,351,Deciduous Broadleaf Forest,
944,US-Cub,United States,North America,Active,39.41251389,-76.5208,2001,Cfa - Warm temperate fully humid with hot summer,137,Urban and Built-Up,
947,US-Age,United States,North America,Inactive,45.0344,-68.68203333,2004,Dfb - Snow fully humid warm summer,44,Mixed Forests,
951,US-Ne1,United States,North America,Active,41.165056,-96.476638,2001,Dfa - Snow with fully humid hot summer,355,Croplands,
952,US-Ne2,United States,North America,Active,41.164871,-96.4701,2001,Dfa - Snow with fully humid hot summer,355,Croplands,
953,US-Ne3,United States,North America,Active,41.179667,-96.439646,2001,Dfa - Snow with fully humid hot summer,356,Croplands,
954,US-Me1,United States,North America,Inactive,44.5794,-121.5,2004,Csb - Warm temperate with dry," warm summer""""",885,Croplands
955,US-Me2,United States,North America,Active,44.4523,-121.5574,2003,Csb - Warm temperate with dry," warm summer""""",1237,Evergreen Needleleaf Forest
956,US-Me3,United States,North America,Inactive,44.3154,-121.6078,2003,Csb - Warm temperate with dry," warm summer""""",1010,Evergreen Needleleaf Forest
957,US-Me4,United States,North America,Inactive,44.4992,-121.6224,1996,Csb - Warm temperate with dry," warm summer""""",915,Evergreen Needleleaf Forest
958,US-Me5,United States,North America,Inactive,44.43718949,-121.566756,1999,Csb - Warm temperate with dry," warm summer""""",1192,Evergreen Needleleaf Forest
967,US-MOz,United States,North America,Active,38.74411,-92.200009,2004,Cfa - Warm temperate fully humid with hot summer,212,Deciduous Broadleaf Forest,
968,US-MMS,United States,North America,Active,39.32315,-86.413139,1998,Cfa - Warm temperate fully humid with hot summer,288,Deciduous Broadleaf Forest,
971,US-Ldg,United States,North America,Active,46.95224789,-110.8852724,2006,BSk - Arid Steppe cold,2258,Evergreen Needleleaf Forest,
972,US-Rip,United States,North America,Active,46.94537472,-110.8872449,2006,BSk - Arid Steppe cold,2199,Evergreen Needleleaf Forest,
980,US-NC1,United States,North America,Active,35.81147,-76.71147,2004,Cfa - Warm temperate fully humid with hot summer,6,Mixed Forests,
981,US-NC2,United States,North America,Active,35.8031,-76.66791,2004,Cfa - Warm temperate fully humid with hot summer,5,Evergreen Needleleaf Forest,
997,US-NR1,United States,North America,Active,40.03287778,-105.5464028,1997,Dfc - Snow fully humid cool summer,3023,Evergreen Needleleaf Forest,
998,US-NR2,United States,North America,Active,40.0325,-105.5469444,2000,Dfc - Snow fully humid cool summer,3030,Evergreen Needleleaf Forest,
999,US-Ced,United States,North America,Active,39.83794167,-74.37910111,2004,Cfa - Warm temperate fully humid with hot summer,58,Evergreen Needleleaf Forest,
1000,US-Dix,United States,North America,Inactive,39.97122889,-74.43455028,2004,Cfa - Warm temperate fully humid with hot summer,45,Urban and Built-Up,
1001,US-Slt,United States,North America,Active,39.91375444,-74.595985,2004,Cfa - Warm temperate fully humid with hot summer,31,Deciduous Broadleaf Forest,
1007,US-NMj,United States,North America,Inactive,46.6465,-88.5194,2001,Dfb - Snow fully humid warm summer,392,Mixed Forests,
1008,US-Syv,United States,North America,Inactive,46.242017,-89.34765,2001,Dfb - Snow fully humid warm summer,539,Mixed Forests,
1009,US-NPn,United States,North America,Inactive,42.31288889,-106.5571111,1997,Dfb - Snow fully humid warm summer,2194,Grasslands,
1019,US-Oho,United States,North America,Active,41.55454,-83.84376,2003,Dfa - Snow with fully humid hot summer,200,Deciduous Broadleaf Forest,
1035,US-MRf,United States,North America,Active,44.64649416,-123.551483,2006,Csb - Warm temperate with dry," warm summer""""",267,Evergreen Needleleaf Forest
1036,US-PFa,United States,North America,Active,45.94587778,-90.27230417,1995,Dfb - Snow fully humid warm summer,473,Mixed Forests,
1039,US-Pon,United States,North America,Inactive,36.76666667,-97.13333333,1996,Cfa - Warm temperate fully humid with hot summer,311,Grasslands,
1041,US-Upa,United States,North America,Inactive,70.28147222,-148.8848333,1993,Dsc - Snow dry," cool summer""""",14,Open Shrublands
1047,US-Ro1,United States,North America,Active,44.71430814,-93.08984321,2003,Dfa - Snow with fully humid hot summer,295,Croplands,
1048,US-Ro2,United States,North America,Active,44.72879032,-93.08885384,2006,Dfa - Snow with fully humid hot summer,291,Croplands,
1049,US-Ro3,United States,North America,Active,44.7217122,-93.08933906,2003,Dfa - Snow with fully humid hot summer,295,Croplands,
1050,US-Ru1,United States,North America,Active,40.25932222,-112.478125,2000,Cfa - Warm temperate fully humid with hot summer,1684,Grasslands,
1051,US-Ru2,United States,North America,Active,40.28284444,-112.4715667,2000,Cfa - Warm temperate fully humid with hot summer,1621,Open Shrublands,
1052,US-Ru3,United States,North America,Active,40.28297222,-112.463,2000,Cfa - Warm temperate fully humid with hot summer,1603,Grasslands,
1055,US-SRM,United States,North America,Active,31.82143,-110.86611,2004,BSk - Arid Steppe cold,1118,Open Shrublands,
1062,US-Smt,United States,North America,Inactive,38.88997778,-76.55988333,1995,Cfa - Warm temperate fully humid with hot summer,15,Deciduous Broadleaf Forest,
1065,US-Snd,United States,North America,Active,38.0373,-121.7536,2006,Csb - Warm temperate with dry," warm summer""""",-2,Cropland/Natural Vegetation Mosaic
1066,US-Shd,United States,North America,Inactive,36.93333333,-96.68333333,1996,Cfa - Warm temperate fully humid with hot summer,355,Grasslands,
1067,US-SO4,United States,North America,Active,33.38444444,-116.6402611,2004,Csa - Warm temperate with dry," hot summer""""",1408,Closed Shrublands
1068,US-SO2,United States,North America,Active,33.37388889,-116.6228889,1993,Csa - Warm temperate with dry," hot summer""""",1414,Closed Shrublands
1069,US-SO3,United States,North America,Active,33.37719444,-116.6226944,1993,Csa - Warm temperate with dry," hot summer""""",1435,Closed Shrublands
1070,US-SP1,United States,North America,Active,29.73806667,-82.21876667,1998,Cfa - Warm temperate fully humid with hot summer,47,Mixed Forests,
1071,US-SP2,United States,North America,Active,29.7648,-82.24481667,1995,Cfa - Warm temperate fully humid with hot summer,46,Mixed Forests,
1072,US-SP3,United States,North America,Active,29.75476667,-82.16328333,1998,Cfa - Warm temperate fully humid with hot summer,36,Evergreen Broadleaf Forest,
1073,US-SP4,United States,North America,Inactive,29.80281667,-82.20315,1998,Cfa - Warm temperate fully humid with hot summer,47,Evergreen Broadleaf Forest,
1080,US-Jss,United States,North America,Inactive,30.175506,-97.8778,2002,Cfa - Warm temperate fully humid with hot summer,245,Savannas,
1084,US-UMB,United States,North America,Active,45.55984,-84.71382,1998,Dfb - Snow fully humid warm summer,228,Deciduous Broadleaf Forest,
1085,US-SDU,United States,North America,Active,39.65942003,-105.01274,2001,Dfb - Snow fully humid warm summer,1619,Urban and Built-Up,
1086,US-KUO,United States,North America,Active,44.9983,-93.1886,2004,Dfb - Snow fully humid warm summer,304,Cropland/Natural Vegetation Mosaic,
1087,US-Bef,United States,North America,Intermittent,39.059595,-78.07237861,2000,Cfa - Warm temperate fully humid with hot summer,183,Cropland/Natural Vegetation Mosaic,
1093,US-Var,United States,North America,Active,38.40666667,-120.9507333,2000,Csa - Warm temperate with dry," hot summer""""",133,Woody Savannas
1094,US-Vca,United States,North America,Active,35.87548,-106.47655,2003,Cfb - Warm temperate fully humid with warm summer,2613,Grasslands,
1096,US-WBW,United States,North America,Inactive,35.95876667,-84.28743333,1994,Cfa - Warm temperate fully humid with hot summer,316,Deciduous Broadleaf Forest,
1097,US-Wlr,United States,North America,Inactive,37.52083333,-96.855,1997,Cfa - Warm temperate fully humid with hot summer,411,Grasslands,
1102,US-WCr,United States,North America,Inactive,45.80592667,-90.07985917,1998,Dfb - Snow fully humid warm summer,512,Deciduous Broadleaf Forest,
1103,US-Wrc,United States,North America,Active,45.82048889,-121.9519111,1998,Csb - Warm temperate with dry," warm summer""""",372,Evergreen Needleleaf Forest
1112,VE-Gan,Venezuela,South America,Inactive,8.900105556,-68.15094444,2005,Aw - Equatorial savannah with dry winter,153,Woody Savannas,
1121,ZM-Mon,Zambia,Africa,Active,-15.43777778,23.25277778,2000,Aw - Equatorial savannah with dry winter,1094,Savannas,
1127,US-Fuf,United States,North America,Active,35.089,-111.762,2005,Csb - Warm temperate with dry," warm summer""""",2234,Woody Savannas
1128,US-Fmf,United States,North America,Active,35.1416,-111.7273,2005,Csb - Warm temperate with dry," warm summer""""",2216,Woody Savannas
1129,US-Fwf,United States,North America,Active,35.4454,-111.7718,2005,Csb - Warm temperate with dry," warm summer""""",2316,Closed Shrublands
2596,US-Wi1,United States,North America,Inactive,46.73047222,-91.23294444,2003,Dfb - Snow fully humid warm summer,331,Deciduous Broadleaf Forest,
2597,US-Wi2,United States,North America,Inactive,46.68688889,-91.15283333,2003,Dfb - Snow fully humid warm summer,393,Mixed Forests,
2598,US-Wi3,United States,North America,Inactive,46.63472222,-91.09866667,2002,Dfb - Snow fully humid warm summer,371,Deciduous Broadleaf Forest,
2599,US-Wi4,United States,North America,Inactive,46.73933333,-91.16625,2002,Dfb - Snow fully humid warm summer,362,Mixed Forests,
2600,US-Wi5,United States,North America,Inactive,46.65308333,-91.08580556,2004,Dfb - Snow fully humid warm summer,352,Mixed Forests,
2601,US-Wi6,United States,North America,Inactive,46.62488889,-91.29822222,2002,Dfb - Snow fully humid warm summer,365,Cropland/Natural Vegetation Mosaic,
2602,US-Wi7,United States,North America,Inactive,46.64911111,-91.06927778,2005,Dfb - Snow fully humid warm summer,341,Cropland/Natural Vegetation Mosaic,
2603,US-Wi8,United States,North America,Inactive,46.72233333,-91.25241667,2002,Dfb - Snow fully humid warm summer,381,Deciduous Broadleaf Forest,
2604,US-Wi9,United States,North America,Inactive,46.61877778,-91.08144444,2004,Dfb - Snow fully humid warm summer,347,Mixed Forests,
2605,US-Wi0,United States,North America,Inactive,46.61877778,-91.08144444,2002,Dfb - Snow fully humid warm summer,347,Mixed Forests,
2606,VU-Coc,Vanuatu,Australia/Oceania,Inactive,-15.44272222,167.1919444,2001,Af - Equatorial rainforest," fully humid""""",1,Evergreen Broadleaf Forest
2607,CG-Tch,Congo - Kinshasa,Africa,Active,-4.289166667,11.65641667,2006,Aw - Equatorial savannah with dry winter,1,Woody Savannas,
2608,CA-WP2,Canada,North America,Inactive,55.5375,-112.3343,2004,Dfc - Snow fully humid cool summer,732,Evergreen Needleleaf Forest,
